buy_date,buy_price,sell_date,sell_price,return_%
2023-01-10,390.5799865722656,2023-01-19,388.6400146484375,-0.4966900482672808
2023-01-20,395.8800048828125,2023-02-24,396.3800048828125,0.12630089770459835
2023-02-27,397.7300109863281,2023-02-28,396.260009765625,-0.3695977623256737
2023-03-02,397.80999755859375,2023-03-07,398.2699890136719,0.11563094389310125
2023-03-08,398.9200134277344,2023-03-09,391.55999755859375,-1.8449853658379853
2023-03-29,401.3500061035156,2023-08-15,442.8900146484375,10.35007049039584
2023-08-29,449.1600036621094,2023-09-06,446.2200012207031,-0.6545557078626111
2023-09-11,448.45001220703125,2023-09-12,445.989990234375,-0.5485610225651096
2023-09-14,450.3599853515625,2023-09-15,443.3699951171875,-1.5520895420845249
2023-11-03,434.69000244140625,2024-04-15,504.45001220703125,16.04822042693017
